Name,PropertyType,HostID,HostName,HostLocation,HostResponseTime,HostResponseRate,RoomType,BedType,MinNights,MaxNights,GuestCount,ExtraGuestCount,GuestWithPay,BedRoomsCount,No_Of_Beds,No_Of_Bathrooms,CancellationPolicy,Price,Currency,Address_Property,Location,LocationCode,Longitude,Latitude,Availability_365,Is_location_exact,Total_ReviewsCount,ReviewScores
Ribeira Charming Duplex,House,51399391,Ana&Gonçalo,"Porto, Porto District, Portugal",within an hour,100.0,Entire home/apt,Real Bed,2,30,8,15.0,6.0,3.0,5.0,1.0,moderate,80.0,EUR-P,"Porto, Porto, Portugal",Portugal,PT,-8.61308,41.1413,239,False,51,9.0
Horto flat with small garden,Apartment,1282196,Ynaie,"Rio de Janeiro, State of Rio de Janeiro, Brazil",Not Specified,100.0,Entire home/apt,Real Bed,2,1125,4,0.0,1.0,1.0,2.0,1.0,flexible,317.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.23074991429229,-22.966253551739655,0,True,0,10.0
Ocean View Waikiki Marina w/prkg,Condominium,5448114,David,"Honolulu, Hawaii, United States",within an hour,98.0,Entire home/apt,Real Bed,3,365,2,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,115.0,USD,"Honolulu, HI, United States",United States,US,-157.83919,21.28634,343,True,96,9.0
Private Room in Bushwick,Apartment,11275734,Josh,"New York, New York, United States",Not Specified,100.0,Private room,Real Bed,14,1125,1,0.0,1.0,1.0,1.0,1.5,flexible,40.0,USD,"Brooklyn, NY, United States",United States,US,-73.93615,40.69791,0,True,1,10.0
Apt Linda Vista Lagoa - Rio,Apartment,51496939,Livia,BR,Not Specified,100.0,Private room,Real Bed,1,1125,2,0.0,1.0,1.0,1.0,2.0,flexible,701.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.205047082633435,-22.971950988341874,363,True,0,10.0
New York City - Upper West Side Apt,Apartment,454250,Greta,"New York, New York, United States",within an hour,100.0,Private room,Real Bed,12,360,2,0.0,1.0,1.0,1.0,1.0,strict_14_with_grace_period,135.0,USD,"New York, NY, United States",United States,US,-73.96523,40.79962,93,False,70,10.0
Copacabana Apartment Posto 6,Apartment,51530266,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,100.0,Entire home/apt,Real Bed,3,75,4,40.0,3.0,1.0,3.0,2.0,strict_14_with_grace_period,119.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.190849194463404,-22.984339360067814,118,False,70,10.0
Charming Flat in Downtown Moda,House,1241644,Zeynep,"Istanbul, Istanbul, Turkey",Not Specified,100.0,Entire home/apt,Real Bed,2,1125,6,211.0,1.0,2.0,6.0,1.0,flexible,527.0,TRY,"Kadıköy, İstanbul, Turkey",Turkey,TR,29.03133,40.98585,362,True,1,10.0
Catete's Colonial Big Hause Room B,House,51326285,Beatriz,"Rio de Janeiro, State of Rio de Janeiro, Brazil",within an hour,80.0,Private room,Real Bed,2,1125,8,40.0,4.0,1.0,8.0,4.0,strict_14_with_grace_period,250.0,BRL,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.18015675229857,-22.92638234778768,296,True,1,10.0
Modern Spacious 1 Bedroom Loft,Apartment,51612949,Konstantin,"Montreal, Quebec, Canada",Not Specified,100.0,Entire home/apt,Real Bed,1,1125,4,31.0,1.0,1.0,2.0,1.0,flexible,50.0,CAD,"Montréal, Québec, Canada",Canada,CA,-73.59111,45.51889,0,True,0,10.0
